cp_cod_func,nm_func,cpf_func,funcao_func
1,Funcionário 1,39062678776,Função 4
2,Funcionário 2,69611058874,Função 2
3,Funcionário 3,16191991741,Função 4
4,Funcionário 4,62851363420,Função 5
5,Funcionário 5,10893244244,Função 1
6,Funcionário 6,67370998923,Função 5
7,Funcionário 7,69146493140,Função 4
8,Funcionário 8,76117400490,Função 4
9,Funcionário 9,83889893909,Função 5
10,Funcionário 10,38767067321,Função 3
11,Funcionário 11,92497334468,Função 1
12,Funcionário 12,81351341198,Função 1
13,Funcionário 13,71928319930,Função 3
14,Funcionário 14,18379712864,Função 2
15,Funcionário 15,51690069938,Função 3
16,Funcionário 16,26392337944,Função 4
17,Funcionário 17,77544055596,Função 2
18,Funcionário 18,43194443230,Função 5
19,Funcionário 19,12715575782,Função 4
20,Funcionário 20,76734596333,Função 2
21,Funcionário 21,37212936661,Função 4
22,Funcionário 22,69020217372,Função 2
23,Funcionário 23,68737773081,Função 3
24,Funcionário 24,83731072887,Função 5
25,Funcionário 25,29242294713,Função 5
26,Funcionário 26,80946530156,Função 3
27,Funcionário 27,10277635013,Função 4
28,Funcionário 28,77161765913,Função 3
29,Funcionário 29,80474955507,Função 1
30,Funcionário 30,69592693622,Função 3
31,Funcionário 31,66566321593,Função 4
32,Funcionário 32,82792472818,Função 5
33,Funcionário 33,78029035569,Função 4
34,Funcionário 34,59929027063,Função 5
35,Funcionário 35,36111138598,Função 4
36,Funcionário 36,21288715022,Função 4
37,Funcionário 37,63161486862,Função 3
38,Funcionário 38,52312417631,Função 4
39,Funcionário 39,84948577570,Função 4
40,Funcionário 40,76947209473,Função 3
41,Funcionário 41,46707054693,Função 3
42,Funcionário 42,76470933138,Função 2
43,Funcionário 43,91473344254,Função 1
44,Funcionário 44,44601707232,Função 5
45,Funcionário 45,80796806354,Função 5
46,Funcionário 46,78573098864,Função 1
47,Funcionário 47,54537213336,Função 2
48,Funcionário 48,94645321463,Função 5
49,Funcionário 49,19043464504,Função 3
50,Funcionário 50,27313946611,Função 3
